,INSTNM,INSTURL,instabbr,subr_from_name,subr_from_abbr,compd,match_only,subr_match
514,Lincoln College of Technology-Denver,www.lincolntech.edu/campus/denver-co, lincolntech  campus denver-co,r/Colorado,r/Colorado,r/Colorado,True,True
515,Denver Seminary,www.denverseminary.edu/, denverseminary  ,r/denverseminary,r/denverseminary,r/denverseminary,True,True
518,Fort Lewis College,fortlewis.edu/,fortlewis  ,r/FortLewisCollege,r/FortLewisCollege,r/FortLewisCollege,True,True
526,Naropa University,www.naropa.edu/, naropa  ,r/NaropaUniversity,r/NaropaUniversity,r/NaropaUniversity,True,True
533,Red Rocks Community College,www.rrcc.edu/, rrcc  ,r/RRCC,r/RRCC,r/RRCC,True,True
545,Albertus Magnus College,https://www.albertus.edu/,  albertus  ,r/MenofLetters,r/MenofLetters,r/MenofLetters,True,True
582,Sacred Heart University,https://www.sacredheart.edu/,  sacredheart  ,r/Sacredheart,r/Sacredheart,r/Sacredheart,True,True
590,Wesleyan University,www.wesleyan.edu/, wesleyan  ,r/Wesleyan,r/Wesleyan,r/Wesleyan,True,True
592,Yale University,https://www.yale.edu/,  yale  ,r/yale,r/yale,r/yale,True,True
607,George Washington University,https://www.gwu.edu/,  gwu  ,r/gwu,r/gwu,r/gwu,True,True
608,Georgetown University,www.georgetown.edu/, georgetown  ,r/georgetown,r/georgetown,r/georgetown,True,True
617,Bethune-Cookman University,www.cookman.edu/, cookman  ,r/HBCU,r/HBCU,r/HBCU,True,True
629,Daytona State College,www.daytonastate.edu/, daytonastate  ,r/DaytonaStateCollege,r/DaytonaStateCollege,r/DaytonaStateCollege,True,True
630,South University-West Palm Beach,"www.southuniversity.edu/west-palm-beach#location=West Palm Beach, FL"," southuniversity  west-palm-beach#location=West Palm Beach, FL",r/WestPalmBeach,r/WestPalmBeach,r/WestPalmBeach,True,True
631,Eckerd College,https://www.eckerd.edu/,  eckerd  ,r/eckerdcollege,r/eckerdcollege,r/eckerdcollege,True,True
632,Florida SouthWestern State College,https://www.fsw.edu/,  fsw  ,r/FSW,r/FSW,r/FSW,True,True
636,Florida Atlantic University,www.fau.edu/, fau  ,r/FAU,r/FAU,r/FAU,True,True
652,Florida State University,https://www.fsu.edu/,  fsu  ,r/fsu,r/fsu,r/fsu,True,True
664,Indian River State College,www.irsc.edu/, irsc  ,r/IRSC,r/IRSC,r/IRSC,True,True
678,State College of Florida-Manatee-Sarasota,www.scf.edu/, scf  ,r/scf,r/scf,r/scf,True,True
691,Northwest Florida State College,https://www.nwfsc.edu/,  nwfsc  ,r/NWFSC,r/NWFSC,r/NWFSC,True,True
711,Seminole State College of Florida,https://www.seminolestate.edu/,  seminolestate  ,r/SeminoleStateCollege,r/SeminoleStateCollege,r/SeminoleStateCollege,True,True
715,South Florida State College,www.southflorida.edu/, southflorida  ,r/SouthFlorida,r/SouthFlorida,r/SouthFlorida,True,True
718,Stetson University,https://www.stetson.edu/,  stetson  ,r/Stetson,r/Stetson,r/Stetson,True,True
730,Valencia College,valenciacollege.edu/,valenciacollege  ,r/ValenciaCollege,r/ValenciaCollege,r/ValenciaCollege,True,True
741,Agnes Scott College,www.agnesscott.edu/, agnesscott  ,r/AgnesScottCollege,r/AgnesScottCollege,r/AgnesScottCollege,True,True
773,Emory University,www.emory.edu/, emory  ,r/Emory,r/Emory,r/Emory,True,True
780,Georgia Southern University,www.georgiasouthern.edu/, georgiasouthern  ,r/georgiasouthern,r/georgiasouthern,r/georgiasouthern,True,True
789,LaGrange College,www.lagrange.edu/, lagrange  ,r/lagrange,r/lagrange,r/lagrange,True,True
794,Mercer University,https://www.mercer.edu/,  mercer  ,r/mercer,r/mercer,r/mercer,True,True
795,Morehouse College,www.morehouse.edu/, morehouse  ,r/MorehouseCollege,r/MorehouseCollege,r/MorehouseCollege,True,True
798,Oglethorpe University,oglethorpe.edu/,oglethorpe  ,r/oglethorpe,r/oglethorpe,r/oglethorpe,True,True
809,Spelman College,www.spelman.edu/, spelman  ,r/AUC,r/AUC,r/AUC,True,True
837,Lewis-Clark State College,www.lcsc.edu/, lcsc  ,r/lcsc,r/lcsc,r/lcsc,True,True
849,Augustana College,www.augustana.edu/, augustana  ,r/Augustana,r/Augustana,r/Augustana,True,True
883,DePaul University,https://www.depaul.edu/,  depaul  ,r/depaul,r/depaul,r/depaul,True,True
897,Greenville University,www.greenville.edu/, greenville  ,r/greenville,r/greenville,r/greenville,True,True
913,Illinois State University,illinoisstate.edu/,illinoisstate  ,r/ilstu,r/ilstu,r/ilstu,True,True
943,McKendree University,https://www.mckendree.edu/,  mckendree  ,r/McKendree_University,r/McKendree_University,r/McKendree_University,True,True
946,Millikin University,https://millikin.edu/, millikin  ,r/millikin,r/millikin,r/millikin,True,True
958,Northern Illinois University,www.niu.edu/, niu  ,r/NIU,r/NIU,r/NIU,True,True
959,Northwestern University,www.northwestern.edu/, northwestern  ,r/Northwestern,r/Northwestern,r/Northwestern,True,True
973,Roosevelt University,www.roosevelt.edu/, roosevelt  ,r/Roosevelt,r/Roosevelt,r/Roosevelt,True,True
983,St. Augustine College,www.staugustine.edu/, staugustine  ,r/StAugustine,r/StAugustine,r/StAugustine,True,True
992,Southern Illinois University-Edwardsville,www.siue.edu/, siue  ,r/SIUE,r/SIUE,r/SIUE,True,True
1017,DePauw University,www.depauw.edu/, depauw  ,r/DePauw,r/DePauw,r/DePauw,True,True
1019,Earlham College,https://earlham.edu/, earlham  ,r/EarlhamCollege,r/EarlhamCollege,r/EarlhamCollege,True,True
1021,Franklin College,www.franklincollege.edu/, franklincollege  ,r/franklincollege,r/franklincollege,r/franklincollege,True,True
1029,Ivy Tech Community College,www.ivytech.edu/, ivytech  ,r/ivytech,r/ivytech,r/ivytech,True,True
1047,Manchester University,www.manchester.edu/, manchester  ,r/manchester,r/manchester,r/manchester,True,True
1067,Valparaiso University,https://www.valpo.edu/,  valpo  ,r/valpo,r/valpo,r/valpo,True,True
1070,Wabash College,www.wabash.edu/, wabash  ,r/wabash,r/wabash,r/wabash,True,True
1078,Coe College,www.coe.edu/, coe  ,r/Coe_College,r/Coe_College,r/Coe_College,True,True
1079,Cornell College,www.cornellcollege.edu/, cornellcollege  ,r/cornellcollege,r/cornellcollege,r/cornellcollege,True,True
1091,Grinnell College,www.grinnell.edu/, grinnell  ,r/Grinnell,r/Grinnell,r/Grinnell,True,True
1102,Iowa Western Community College,www.iwcc.edu/, iwcc  ,r/iastate,r/iastate,r/iastate,True,True
1109,Loras College,www.loras.edu/, loras  ,r/Loras,r/Loras,r/Loras,True,True
1129,Simpson College,simpson.edu/,simpson  ,r/simpson,r/simpson,r/simpson,True,True
1137,Wartburg College,www.wartburg.edu/, wartburg  ,r/wartburg,r/wartburg,r/wartburg,True,True
1145,Benedictine College,www.benedictine.edu/, benedictine  ,r/BenedictineCollege,r/BenedictineCollege,r/BenedictineCollege,True,True
1169,Johnson County Community College,www.jccc.edu/, jccc  ,r/jccc,r/jccc,r/jccc,True,True
1176,Kansas State University,www.k-state.edu/, k-state  ,r/KState,r/KState,r/KState,True,True
1182,McPherson College,www.mcpherson.edu/, mcpherson  ,r/McPherson,r/McPherson,r/McPherson,True,True
1187,Ottawa University-Ottawa,www.ottawa.edu/, ottawa  ,r/ottawa,r/ottawa,r/ottawa,True,True
1197,Washburn University,www.washburn.edu/, washburn  ,r/Washburn,r/Washburn,r/Washburn,True,True
